"";"parsed";"ebird_itis"
"1630";"Gorsachius melanolophus";"Gorsachius melanolophus"
"1631";"Tigrisoma lineatum";"Tigrisoma lineatum"
"1632";"Ixobrychus involucris";"Ixobrychus involucris"
"1633";"Ixobrychus sinensis";"Ixobrychus sinensis"
"1634";"Ixobrychus novaezelandiae";"Ixobrychus novaezelandiae"
"1635";"Ixobrychus exilis";"Ixobrychus exilis"
"1636";"Ixobrychus eurhythmus";"Ixobrychus eurhythmus"
"1637";"Ixobrychus cinnamomeus";"Ixobrychus cinnamomeus"
"1638";"Ixobrychus sturmii";"Ixobrychus sturmii"
"1639";"Ixobrychus flavicollis";"Ixobrychus flavicollis"
"1640";"Botaurus lentiginosus";"Botaurus lentiginosus"
"1641";"Botaurus poiciloptilus";"Botaurus poiciloptilus"
"1642";"Scopus umbretta";"Scopus umbretta"
"1643";"Phoenicoparrus jamesi";"Phoenicoparrus jamesi"
"1644";"Eudocimus ruber";"Eudocimus ruber"
"1645";"Phimosus infuscatus";"Phimosus infuscatus"
"1646";"Plegadis chihi";"Plegadis chihi"
"1647";"Plegadis ridgwayi";"Plegadis ridgwayi"
"1648";"Cercibis oxycerca";"Cercibis oxycerca"
"1649";"Theristicus caerulescens";"Theristicus caerulescens"
"1650";"Theristicus caudatus";"Theristicus caudatus"
"1651";"Bostrychia hagedash";"Bostrychia hagedash"
"1652";"Bostrychia carunculata";"Bostrychia carunculata"
"1653";"Bostrychia olivacea";"Bostrychia olivacea"
"1654";"Geronticus calvus";"Geronticus calvus"
"1655";"Lophotibis cristata";"Lophotibis cristata"
"1656";"Threskiornis melanocephalus";"Threskiornis melanocephalus"
"1657";"Pseudibis papillosa";"Pseudibis papillosa"
"1658";"Platalea regia";"Platalea regia"
"1659";"Platalea alba";"Platalea alba"
"1660";"Platalea flavipes";"Platalea flavipes"
"1661";"Platalea ajaja";"Platalea ajaja"
"1662";"Pelecanus conspicillatus";"Pelecanus conspicillatus"
"1663";"Pelecanus erythrorhynchos";"Pelecanus erythrorhynchos"
"1664";"Coragyps atratus";"Coragyps atratus"
"1665";"Cathartes melambrotus";"Cathartes melambrotus"
"1666";"Sarcoramphus papa";"Sarcoramphus papa"
"1667";"Mycteria americana";"Mycteria americana"
"1668";"Mycteria cinerea";"Mycteria cinerea"
"1669";"Mycteria ibis";"Mycteria ibis"
"1670";"Mycteria leucocephala";"Mycteria leucocephala"
"1671";"Anastomus oscitans";"Anastomus oscitans"
"1672";"Ciconia abdimii";"Ciconia abdimii"
