;Rb_median;AV_median;FV_median;NNmed
Crocidura_ramona;0,013313268;0,669218;0,669104784;0,030069747
Crocidura_beccarii;0,01331328;0,669215116;0,669101901;0,023954705
Crocidura_longipes;0,013313199;0,669229968;0,66911675;0,030628102
Crocidura_smithii;0,013309522;0,669255547;0,669142325;0,076786479
Crocidura_lepidura;0,013309543;0,669265649;0,669152426;0,02800951
Crocidura_congobelgica;0,013309728;0,669257416;0,669144194;0,023432986
Crocidura_orientalis;0,013309147;0,669211544;0,669098329;0,024072108
Crocidura_erica;0,013307921;0,669211544;0,669098329;0,027045993
Crocidura_brunnea;0,013307921;0,669214093;0,669100878;0,042536301
Crocidura_thomensis;0,013307996;0,669217194;0,669103979;0,040553897
